Item,Count
Service:,4398
PAST MEDICAL HISTORY:,5159
MEDICATIONS ON ADMISSION:,1840
BRIEF SUMMARY OF HOSPITAL COURSE:,22
DISCHARGE MEDICATIONS:,4913
FINAL DIAGNOSES:,140
Allergies:,41115
Chief Complaint:,38674
Major Surgical or Invasive Procedure:,38733
History of Present Illness:,38492
Past Medical History:,38627
PMH:,517
Social History:,37910
Family History:,37541
Physical Exam:,38078
Brief Hospital Course:,38677
Medications on Admission:,37723
Discharge Medications:,37029
Discharge Disposition:,40815
Facility:,26670
Discharge Diagnosis:,38638
Discharge Condition:,38589
Discharge Instructions:,37798
Review of sytems:,363
Pertinent Results:,37892
LABS AT DISCHARGE:,16
Secondary:,2904
Followup Instructions:,37661
Medicine Consult:,1
IMPRESSION:,13374
PHYSICAL EXAM UPON DISCHARGE:,71
DIAGNOSIS:,603
FOLLOWING:,426
Upon discharge:,84
CT:,8
Micro:,977
MEDICATIONS ON DISCHARGE:,1852
ADMISSION MEDICATIONS:,422
ON DISCHARGE:,193
FINAL DIAGNOSIS:,1714
Secondary diagnosis:,518
Medication changes:,530
DISCHARGE DIAGNOSIS:,2456
PULSES:,1418
HD Labs:,1
Discharge Labs:,994
Active Issues:,122
Physical Exam on Discharge:,146
Imaging:,2191
Transitional Issues:,479
Medications started:,24
EKG:,208
Pt has been on in the recent past:,1
Secondary Diagnosis:,806
following:,596
Review of systems:,1545
Immuno:,1
Please note the following changes to your medication regimen:,6
the following:,123
General Discharge Instructions:,135
Infectious disease :,1
Thoracic surgery:,2
Note that you have the following appointment scheduled:,1
CT ABD WITH IV AND ORAL CONTRAST:,1
CXR:,632
SECONDARY:,268
OTHER APPOINTMENTS:,6
Radiology:,263
REASON FOR THIS EXAMINATION:,3738
Labs on Discharge:,347
MICRO:,886
Studies:,570
Secondary Diagnoses:,711
Medications:,519
Dialysis:,1
Physical Exam upon transfer to MICU:,1
HOSPITAL COURSE BY SYSTEM:,329
DISCHARGE DIAGNOSES:,6652
experience:,51
MEDICATIONS AT HOME:,334
MEDICATIONS HELD:,1
The following changes were made to your medications:,741
Labs:,257
Cardiac enzymes:,150
  IMPRESSION:,34
Fluid Restriction:,84
General:,680
Pulses:,2655
Please call to schedule the following:,238
Discharge labs:,845
SECONDARY DIAGNOSES:,222
MEDICATION CHANGES:,193
Coags:,99
EXAM BY NEURO CONSULT:,1
NEURO:,206
Cranial Nerves:,2045
Sensory:,122
Motor:,658
Strength:,71
Coordination:,67
Conclusions:,1240
Secondary diagnoses:,529
MICROBIOLOGY:,794
Studies pending at discharge:,8
The following changes were made to your medication regimen:,77
Activity:,214
Physical Therapy:,430
Treatments Frequency:,378
L RADIAL FRACTURE:,1
CYTOLOGY:,13
dicharge labs:,1
Please make the following changes to your medications:,118
Pathology:,107
Ileocecal resection specimen:,1
Peritoneal fluid:,8
Echocardiogram:,37
ADDENDUM:,379
DISCHARGE EXAM:,485
dischcarge labs:,1
OTHER LABS:,33
IMAGING:,1627
TRANSITIONAL ISSUES:,748
We made the following changes to your medications:,545
DECREASED:,2
INCREASED:,2
STARTED:,28
PAST SURGICAL HISTORY:,859
Pulmonary:,50
RADIOLOGY:,174
Other Labs:,75
Medication changes include:,4
ECHO:,264
Discharge Exam:,374
during this admission:,35
Occupation:,51
PE:,100
On discharge:,579
Scheduled appointments:,34
Surgery Discharge part:,1
We have made the following changes to your medications:,239
TTE on admission:,1
TEE:,39
Neuro:,1932
CTA:,69
On discharge his exam is as follows:,1
Other Past History:,58
COMMENTS:,805
MEDICATIONS:,1530
patient was found to have vital signs as follows:,1
HOSPITAL COURSE:,1427
POSTBYPASS:,55
Incisions:,1299
and was discharged home on the following medications:,1
ALLERGIES:,346
DISCHARGE INSTRUCTIONS:,752
secondary:,114
Outstanding issues on discharge:,1
studies:,12
FINDINGS:,1088
 Allergies:,2
have any of the following:,126
Wound Care:,155
Reflexes:,375
CHR Exacerbation:,1
Coronary artery disease:,2
Aortic Stenosis:,1
Strep viridans bacteremia:,1
Cardiology:,303
Gastroenterology:,23
Infectious Disease:,26
PCP:,23
HOME MEDICATIONS:,155
CT orbits:,1
your medications:,25
Emergency Department for any of the following:,182
Incision Care:,518
You alos have a follow up appointment with the following:,1
Blood chemistry:,5
Cardiac biomarkers:,5
Vancomycin level:,1
Lactate:,21
AP chest radiograph:,1
CARDIAC ENZYMES:,139
OTHER PERTINENT LABS OF HOSPITAL COURSE:,1
URINE STUDIES:,39
There are some changes to your medications:,10
Mental Status:,69
OSH and on transfer to our hospital:,1
DISCHARGE:,178
Please Fax Results To:,1
CHANGES TO YOUR MEDICATIONS:,45
PSH:,570
GI BLEEDING STUDY:,1
WBC trend:,8
in detail below:,2
We made several changes to your medications:,4
follows:,125
COLON BIOPSIES:,1
EGD:,101
Colonoscopy:,30
Imaging summary:,1
Urinalysis:,58
Microbiology:,815
There have been some changes to your medications:,4
TERTIARY DIAGNOSES:,1
STUDIES:,722
ED Course:,17
MEDICATIONS ON PRESENTATION:,16
unable to cooperate with exam:,1
DISCHARGE LABS:,1256
Discharge physical:,5
Issues on discharge:,2
Findings:,568
Recommendations:,57
Already scheduled appointments:,42
Immediately after the operation:,104
CONTINUATION:,10
TREATMENT REQUIRED UPON DISCHARGE:,1
MEDICATIONS ON ADMISSION TO THE HOSPITAL:,5
Neurologic:,792
Radiologic Data:,43
Blood Culture:,4
At rehab:,3
Past Surgical History:,914
Discharge Physical Exam:,246
Surgical Floor Course:,1
PATHOLOGY:,109
Admission labs:,108
CBC:,189
electrolytes:,16
cardiac enzymes:,10
admission:,24
On Discharge:,630
COAGS:,101
CMP:,4
TROPONIN AND BNP:,1
INACTIVE ISSUES:,111
The Following medications were STARTED:,1
The Following medications were STOPPED:,1
Transitional issues:,179
Stat addendum:,1
Images:,166
KUB:,24
reported not taking:,1
Please discuss with your physician the following issues:,1
TRANSFER PE:,1
Transfer Meds:,10
PHYSICAL EXAM:,362
Strength Motor:,1
Upon Discharge:,55
Syncope workup:,1
Home Medications:,23
Recent Labs:,4
Pertinent Radiology:,1
MICU COURSE:,52
demonstrating:,2
to the ER if:,1
ECG:,102
Last Dental Exam:,34
Pertient Discharge Physical Exam:,1
Active Issues Upon Discharge:,1
Inactive Issues Upon Discharge:,1
From OSH:,13
Cath showed:,3
Medications started at OSH:,1
Cardiac Echo:,14
Recent Studies:,1
MEASUREMENTS:,412
INTERPRETATION:,568
microbiology:,8
We made the following changes in your medicines:,20
NOTE:,11
Urine:,187
instructions for this medication are:,3
course by problem list:,1
START Prednisone with the following doses:,1
Exam on discharge:,63
CTA Torso:,3
TTE:,180
EEG:,90
DISCHARGE FOLLOWUP:,53
What to expect when you go home:,307
on:,121
What activities you can and cannot do:,592
What to report to office:,532
on the following regimen:,1
for the following events:,3
active issues upon discharge include:,1
FOLLOW UP:,116
On further ROS:,1
Unit admission:,1
PROBLEM LIST:,49
MEDICAL ISSUES:,1
Studies pending at Discharge:,5
ACTIVE PROBLEMS BY ISSUES:,3
LEFT ARM FILM:,1
CHEST CT:,11
ADMISSION DIAGNOSES:,95
Discharge PE:,106
at home:,1
MEDICATIONS AT DISCHARGE:,27
ADMISSION LABS:,88
of gastroenterology:,1
HPI:,45
course is discussed below by system:,1
At discharge:,140
now:,1
The following changes were made to your medication list:,23
Medication:,6
presenting from clinic with dyspnea:,1
ROS:,323
continued:,1
Labs on discharge:,295
SUMMARY OF HOSPITAL COURSE:,111
PHYSICAL EXAM ON DISCHARGE:,43
Cardiac Enzymes:,182
LAB RESULTS ON DISCHARGE:,7
ACUTE CARE:,27
CHRONIC CARE:,21
Transitions in Care:,4
Please continue your home insulin regimen without change:,1
We DECREASED carvedilol to:,1
We STARTED:,1
Continue the following medications:,1
On Transfer from MICU:,1
CAD:,24
AF:,1
Hematuria and Urinary retention:,1
FINAL DISCHARGE DIAGNOSES:,41
MRI Head:,16
Floor Course:,24
Laboratory studies on discharge:,19
Please call your primary care doctor or return to the ER with:,2
On Presentation:,17
Other Results:,8
CSF Analysis:,2
Blood cx:,3
CLINICAL IMPLICATIONS:,197
FOLLOW UP NEEDED by PCP AFTER DISCHARGE:,1
Please continue on antibiotics:,2
Impression:,178
following changes:,31
PSHx:,103
SURGICAL HISTORY:,19
CT chest:,30
LENI:,9
START:,40
PLEASE MAKE THE FOLLOWING CHANGES TO YOUR MEDICATIONS:,3
Discharge anticoagulation plan as follows:,1
blood drawn:,1
LE:,7
Dicharge Physical Exam:,1
Relevant labs:,19
PSurgH:,13
HD line placement:,2
secondary dx:,6
First day post op he had an ultrasound:,1
He was started on his immunosuppressive meds per protocol:,1
CTA chest:,39
RESULTS:,55
PREVIOUS BIOPSIES:,16
Urine cytology:,1
Meds:,32
Review of Systems:,197
CHEMISTRIES:,54
Neurologic examination:,496
HCT:,5
hospital course by problem is as follows:,13
secondary stroke risk factors where checked and were as follows:,1
OB HISTORY:,2
ASSESSMENT:,12
PLAN:,69
Cardiac Labs:,22
to your medications:,3
Primary:,36
Work up for altered mental status:,1
MEDICATIONS ON TRANSFER:,380
Neurologic Examination:,148
MOTOR:,17
Sensation:,70
Other Tobacco use:,82
Please call to schedule appointments with:,178
Overdose:,2
rhabdomyolysis:,1
increased anion gap acidosis:,1
acute renal failure:,1
ID:,82
CV:,69
ICU stay:,1
CARDIAC RISK FACTORS:,8
PHYSICAL EXAM AT DISHARGE:,1
RADIOGRAPHIC STUDIES:,3
Discharge:,446
CHEM:,36
LFTS:,38
Chem:,17
Thyroid:,6
failure:,3
Chronic issue:,1
BRIEF HISTORY:,21
INDICATIONS FOR CATHETERIZATION:,117
PROCEDURE:,184
TECHNICAL FACTORS:,133
Contrast injected:,79
Premedications:,103
Anesthesia:,131
Anticoagulation:,119
Cardiac Cath Supplies Used:,125
PRIMARY:,5
CT head:,72
labs prior to discharge:,1
BLOOD CX:,2
CTA Head and Neck:,6
From the medicine admission note:,1
WOUND CARE:,126
ACTIVITY:,170
WHEN TO CALL YOUR SURGEON:,88
Physician Immediately if you Experience:,88
addressed:,13
CONCLUSION:,246
please institute the following precaustions as best as possible:,1
HISTORY OF PRESENT ILLNESS:,44
REVIEW OF SYSTEMS:,228
PHYSICAL EXAMINATION:,117
include:,31
Picc Line stip culture:,1
 IMPRESSION:,109
Follow the general direction below:,1
HEMATOLOGY:,41
CHEMISTRY:,45
LABS ON DISCHARGE:,148
