Item,Count
Allergies:,41115
Discharge Disposition:,40815
Major Surgical or Invasive Procedure:,38733
Brief Hospital Course:,38677
Chief Complaint:,38674
Discharge Diagnosis:,38638
Past Medical History:,38627
Discharge Condition:,38589
History of Present Illness:,38492
Physical Exam:,38078
Social History:,37910
Pertinent Results:,37892
Discharge Instructions:,37798
Medications on Admission:,37723
Followup Instructions:,37661
Family History:,37541
Discharge Medications:,37029
Facility:,26670
IMPRESSION:,13374
DISCHARGE DIAGNOSES:,6652
PAST MEDICAL HISTORY:,5159
DISCHARGE MEDICATIONS:,4913
Service:,4398
REASON FOR THIS EXAMINATION:,3738
Secondary:,2904
Pulses:,2655
Addendum:,2525
DISCHARGE DIAGNOSIS:,2456
Imaging:,2191
Cranial Nerves:,2045
Neuro:,1932
MEDICATIONS ON DISCHARGE:,1852
MEDICATIONS ON ADMISSION:,1840
FINAL DIAGNOSIS:,1714
IMAGING:,1627
Review of systems:,1545
MEDICATIONS:,1530
HOSPITAL COURSE:,1427
PULSES:,1418
Incisions:,1299
DISCHARGE LABS:,1256
Conclusions:,1240
FINDINGS:,1088
Discharge Labs:,994
Micro:,977
Past Surgical History:,914
MICRO:,886
PAST SURGICAL HISTORY:,859
Discharge labs:,845
Microbiology:,815
Secondary Diagnosis:,806
COMMENTS:,805
CARE RECOMMENDATIONS:,805
MICROBIOLOGY:,794
Neurologic:,792
DISCHARGE INSTRUCTIONS:,752
TRANSITIONAL ISSUES:,748
The following changes were made to your medications:,741
STUDIES:,722
Secondary Diagnoses:,711
General:,680
Motor:,658
CXR:,632
On Discharge:,630
DIAGNOSIS:,603
following:,596
What activities you can and cannot do:,592
On discharge:,579
PSH:,570
Studies:,570
Findings:,568
INTERPRETATION:,568
We made the following changes to your medications:,545
What to report to office:,532
Medication changes:,530
Secondary diagnoses:,529
Medications:,519
Secondary diagnosis:,518
Incision Care:,518
PMH:,517
Neurologic examination:,496
DISCHARGE EXAM:,485
Transitional Issues:,479
Discharge:,446
Physical Therapy:,430
FOLLOWING:,426
ADMISSION MEDICATIONS:,422
MEASUREMENTS:,412
CARE AND RECOMMENDATIONS:,391
MEDICATIONS ON TRANSFER:,380
ADDENDUM:,379
Treatments Frequency:,378
Reflexes:,375
Discharge Exam:,374
ACTIVE ISSUES:,366
Review of sytems:,363
PHYSICAL EXAM:,362
DISCHARGE PHYSICAL EXAM:,349
Labs on Discharge:,347
ALLERGIES:,346
MEDICATIONS AT HOME:,334
Past medical history:,332
HOSPITAL COURSE BY SYSTEM:,329
HOSPITAL COURSE BY SYSTEMS:,325
ROS:,323
REGIONAL LEFT VENTRICULAR WALL MOTION:,310
SUMMARY OF HOSPITAL COURSE BY SYSTEMS:,309
What to expect when you go home:,307
Cardiology:,303
Labs on discharge:,295
CONTRAINDICATIONS FOR IV CONTRAST:,269
SECONDARY:,268
ECHO:,264
Radiology:,263
Labs:,257
IMMUNIZATIONS RECOMMENDED:,253
CONCLUSION:,246
Discharge Physical Exam:,246
We have made the following changes to your medications:,239
Please call to schedule the following:,238
REVIEW OF SYSTEMS:,228
CHRONIC ISSUES:,224
SECONDARY DIAGNOSES:,222
Activity:,214
EKG:,208
NEURO:,206
The following changes have been made to your medications:,201
Discharge exam:,198
CLINICAL IMPLICATIONS:,197
Review of Systems:,197
We made the following changes to your medicines:,196
MEDICATION CHANGES:,193
ON DISCHARGE:,193
CBC:,189
Urine:,187
PROCEDURE:,184
Cardiac Enzymes:,182
Emergency Department for any of the following:,182
TTE:,180
Transitional issues:,179
Please call to schedule appointments with:,178
Impression:,178
DISCHARGE:,178
DATA:,177
Stomach:,176
LABS:,174
RADIOLOGY:,174
CARE AND RECOMMENDATIONS AT THE TIME OF DISCHARGE:,170
ACTIVITY:,170
Images:,166
RECOMMENDATIONS:,159
Echo:,156
Wound Care:,155
HOME MEDICATIONS:,155
medications:,154
Primary Care:,153
URINE:,150
Cardiac enzymes:,150
Neurologic Examination:,148
LABS ON DISCHARGE:,148
Physical Exam on Discharge:,146
FINAL DIAGNOSES:,140
At discharge:,140
SECONDARY DIAGNOSIS:,140
CARDIAC ENZYMES:,139
Medications on transfer:,137
General Discharge Instructions:,135
Other Past Medical History:,133
TECHNICAL FACTORS:,133
PERTINENT LABS:,131
Anesthesia:,131
Injuries:,129
Reports:,127
have any of the following:,126
WOUND CARE:,126
Cardiac Cath Supplies Used:,125
follows:,125
Chemistries:,124
the following:,123
Sensory:,122
Active Issues:,122
on:,121
Anticoagulation:,119
Please make the following changes to your medications:,118
INDICATIONS FOR CATHETERIZATION:,117
PHYSICAL EXAMINATION:,117
FOLLOW UP:,116
secondary:,114
IMPRESSIONS:,114
PREOPERATIVE MEDICATIONS:,112
SUMMARY OF HOSPITAL COURSE BY SYSTEM:,112
SUMMARY OF HOSPITAL COURSE:,111
INACTIVE ISSUES:,111
Medication Changes:,110
PATHOLOGY:,109
Changes to your medications:,109
 IMPRESSION:,109
Admission Labs:,109
Meds on transfer:,109
Admission labs:,108
Pathology:,107
MEDICATIONS PRIOR TO ADMISSION:,106
Labs at discharge:,106
Discharge PE:,106
CT Head:,105
LFTs:,105
Immediately after the operation:,104
Premedications:,103
At Discharge:,103
PSHx:,103
Duodenum:,102
ECG:,102
CN:,102
COAGS:,101
EGD:,101
PE:,100
Coags:,99
Chemistry:,98
OUTPATIENT ISSUES:,97
OUTPATIENT MEDICATIONS:,96
DIAGNOSES:,96
ADMISSION DIAGNOSES:,95
Other:,92
ADMISSION DIAGNOSIS:,92
Plan:,92
TRANSITIONAL CARE ISSUES:,92
Please call your doctor or go to the emergency department if:,91
EEG:,90
Please note the following changes to your medications:,89
WHEN TO CALL YOUR SURGEON:,88
Physician Immediately if you Experience:,88
ADMISSION LABS:,88
Cultures:,87
Gross:,87
Exam on Discharge:,86
Upon discharge:,84
Fluid Restriction:,84
RECOMMENDED IMMUNIZATIONS:,82
Other Tobacco use:,82
ID:,82
Hematology:,82
Neurological Exam:,82
Immunizations recommended:,80
IMAGING STUDIES:,79
Contrast injected:,79
criteria:,78
The following changes were made to your medication regimen:,77
Chronic Issues:,77
GI:,76
Discharge physical exam:,76
Relevant Imaging:,76
Other Labs:,75
POST CPB:,75
Other labs:,75
PROCEDURES:,74
TRANSITION OF CARE ISSUES:,73
HEENT:,73
MRA OF THE HEAD:,73
CT head:,72
PHYSICAL EXAM UPON DISCHARGE:,71
PLEASE CALL US IMMEDIATELY FOR ANY OF THE FOLLOWING PROBLEMS:,71
Strength:,71
Return to the ER if:,70
Sensation:,70
Mental Status:,69
CV:,69
PLAN:,69
REPORTS:,69
CTA:,69
TRANSITIONS OF CARE:,68
below:,68
Medications on Transfer:,68
TRANSFER MEDICATIONS:,68
ABG:,67
Coordination:,67
CAUTIONS:,65
CHIEF COMPLAINT:,65
Cardiac History:,64
LABORATORY DATA:,64
Head CT:,64
CRANIAL NERVES:,64
Exam on discharge:,63
Pertinent Labs:,62
MICU course:,62
On admission:,61
CHRONIC DIAGNOSES:,61
EXT:,61
JP Drain Care:,60
Cardiac:,60
OTHER PAST MEDICAL HISTORY:,60
